Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
278117815576023,EU Justice and Consumers,EU Justice and Consumers,657436,30
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,516990,314
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,510793,110
487445514669670,Petr Fiala,Občanská demokratická strana,420785,63
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",408613,30
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,319947,48
214827221987263,Andrej Babiš,Andrej Babiš,259423,62
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",248725,51
116445271562547,Dárek,Nadační fond pro Ukrajinu,229587,20
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",214848,253
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",165344,83
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,161657,345
134019826669125,Česká divočina,Hnutí DUHA,152949,26
181682098362773,DICK-TATOR,DICK-TATOR,151582,57
295889117124834,Tipsport,Tipsport,148848,6
157741540937883,CARE Česká republika,CARE Česká republika,140499,118
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,124270,58
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,122274,112
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,118718,77
183287971525413,Chaos12,These ads ran without a disclaimer,111718,12
251656685576,KDU-ČSL,KDU-ČSL,108138,96
90002267161,TOP 09,TOP 09,107999,11
122074554119,EU Social,EU Social,102654,18
424114981002397,Český rozhlas Plus,Český rozhlas,96194,177
197010357446014,Ondřej Prokop,Ondrej Prokop,96188,56
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,93125,43
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",92184,216
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,84544,340
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie (SPD),83966,1
107736952362788,Denik.to,Denik.to,76668,175
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,76277,18
100843142503124,Podcast Zjisti víc,Zjisti víc,73301,72
1469427909957890,Reportér magazín,Reportér magazín,66577,45
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",64990,21
2214398435317853,CNN Prima NEWS,FTV Prima,62493,4
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,60989,53
102778979062932,Digitální Česko,Úřad vlády České republiky,59619,11
1956144064659620,BlueTV,Aliance pro budoucnost,58821,15
55408246161,Amnesty International ČR,Amnesty International ČR,56826,25
192892890746298,Aerofilms,Aerofilms,56583,33
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",54991,57
693725074166331,Naše zdravotnictví,Naše zdravotnictví,51405,59
139379141293,Paměť národa,"Post Bellum, z.ú.",50007,46
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,49023,9
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,48510,16
280617905401953,Alexandra Udženija,Občanská demokratická strana,46902,25
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,45773,21
384187235387895,Alena Schillerová,ANO,45670,32
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,45667,62
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",45501,22
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,45360,197
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,44541,27
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,43296,23
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,42997,6
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",41687,15
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",39995,2
100258505300069,Za bydlení,Za bydlení,39750,12
110554525653740,Karlovarský kraj - oficiální stránka,Karlovarský kraj,38485,9
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",38374,52
103567498863549,Ecoista,Ecoista,37889,52
711658465662315,XTV,XTV,37884,136
109323929038,Česká pirátská strana,Česká pirátská strana,37593,11
117823623864,Transparency International ČR,Transparency International ČR,37055,59
