bylines_name,bylines_grp,bylines_url_key
Daniel Kůs - Radní Plzně,Piráti,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/pirati.png
Daniel Kůs,Piráti,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/pirati.png
Pavel Staněk,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Matěj Ondřej Havel - východočeský poslanec,TOP 09,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/top.png
Motoristé sobě,Motoristé,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/motoriste.png
Pavla Pivoňka Vaňková STAN,STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
Pavla Pivoňka Vaňková,STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
Štěpán Slovák,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Václav Pláteník,KDU-ČSL,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
Robert Teleky,KDU-ČSL,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
Karel Smetana,KDU-ČSL,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
Marie Pošarová - SPD,SPD,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/spd.png
Kamal Farhan,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Jana Hanzlíková - poslankyně,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Samuel Zabolotný,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Česká pirátská strana,Piráti,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/pirati.png
ANO,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Svoboda a přímá demokracie (SPD),SPD,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/spd.png
ODS,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
STAN,STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
Starostové a nezávislí • STAN,STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
Komunistická strana Čech a Moravy,KSČM,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kscm.png
Ondrej Prokop,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
ODS - Občanská demokratická strana,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Sociální demokracie,SOCDEM,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/socdem.png
Občanská demokratická strana,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
