id,spend_lower,spend_upper,impressions_lower,impressions_upper,currency,ad_delivery_start_time,ad_delivery_stop_time,search_page_ids,bylines,target_gender,eu_total_reach,estimated_audience_size
571896965547414,2000,2499,50000,59999,CZK,2024-12-10,2024-12-23,183496134175,Český rozhlas,All,23352,100001
2372307699785054,200,299,3000,3999,CZK,2024-12-09,2024-12-10,183496134175,Český rozhlas,All,3151,100001
1645700829631103,2500,2999,60000,69999,CZK,2024-11-22,2024-12-09,183496134175,Český rozhlas,All,24051,100001
933063195388931,200,299,5000,5999,CZK,2024-11-19,2024-12-04,183496134175,Český rozhlas,All,3265,100001
1117886149761019,2000,2499,60000,69999,CZK,2024-10-15,2024-10-27,183496134175,Český rozhlas,All,30314,100001
8502610509815543,2000,2499,60000,69999,CZK,2024-10-04,2024-10-15,183496134175,Český rozhlas,All,23611,100001
807583424623131,1500,1999,45000,49999,CZK,2024-09-24,2024-10-11,183496134175,Český rozhlas,All,24996,100001
1078269420379586,800,899,20000,24999,CZK,2024-09-19,2024-10-02,183496134175,Český rozhlas,All,15693,100001
886744606173158,0,99,0,999,CZK,2024-09-19,2024-09-21,183496134175,Český rozhlas,All,623,100001
458148710373252,900,999,40000,44999,CZK,2024-08-05,2024-08-09,183496134175,Český rozhlas,All,25770,100001
1530810711167897,1000,1499,40000,44999,CZK,2024-08-01,2024-08-11,183496134175,Český rozhlas,All,22571,100001
1205703007262095,900,999,35000,39999,CZK,2024-08-01,2024-08-11,183496134175,Český rozhlas,All,20159,100001
1465906464063733,400,499,15000,19999,CZK,2024-06-10,2024-06-19,183496134175,Český rozhlas,All,9891,100001
433169242902127,1500,1999,80000,89999,CZK,2024-06-06,2024-06-19,183496134175,Český rozhlas,All,40791,100001
278447535205390,700,799,30000,34999,CZK,2024-03-28,2024-04-12,183496134175,Český rozhlas,All,15141,100001
274370739052476,1000,1499,50000,59999,CZK,2024-03-28,2024-04-12,183496134175,Český rozhlas,All,34582,100001
1098323108084284,1000,1499,45000,49999,CZK,2024-03-06,2024-03-18,183496134175,Český rozhlas,All,22465,100001
914306460282867,900,999,40000,44999,CZK,2024-02-19,2024-03-03,183496134175,Český rozhlas,All,13880,100001
