ad_id,region,percentage
571896965547414,Central Bohemian Region,0.109213
571896965547414,Hradec Králové Region,0.040882
571896965547414,Karlovy Vary Region,0.032963
571896965547414,Liberec Region,0.037731
571896965547414,Moravian-Silesian Region,0.101874
571896965547414,Olomouc Region,0.023841
571896965547414,Pardubice Region,0.038643
571896965547414,Plzeň Region,0.080355
571896965547414,Prague,0.299361
571896965547414,South Bohemian Region,0.047599
571896965547414,South Moravian Region,0.084584
571896965547414,Unknown,0.000373
571896965547414,Vysočina Region,0.028485
571896965547414,Zlín Region,0.024587
571896965547414,Ústí nad Labem Region,0.049507
2372307699785054,Central Bohemian Region,0.10117
2372307699785054,Hradec Králové Region,0.043313
2372307699785054,Karlovy Vary Region,0.046159
2372307699785054,Liberec Region,0.034145
2372307699785054,Moravian-Silesian Region,0.119823
2372307699785054,Olomouc Region,0.022131
2372307699785054,Pardubice Region,0.039836
2372307699785054,Plzeň Region,0.072083
2372307699785054,Prague,0.299083
2372307699785054,South Bohemian Region,0.047107
2372307699785054,South Moravian Region,0.067973
2372307699785054,Unknown,0.000316
2372307699785054,Vysočina Region,0.030351
2372307699785054,Zlín Region,0.02466
2372307699785054,Ústí nad Labem Region,0.05185
1645700829631103,Central Bohemian Region,0.104144
1645700829631103,Hradec Králové Region,0.041515
1645700829631103,Karlovy Vary Region,0.027848
1645700829631103,Liberec Region,0.033354
1645700829631103,Moravian-Silesian Region,0.096023
1645700829631103,Olomouc Region,0.021827
1645700829631103,Pardubice Region,0.031691
1645700829631103,Plzeň Region,0.081287
1645700829631103,Prague,0.354223
1645700829631103,South Bohemian Region,0.040683
1645700829631103,South Moravian Region,0.074235
1645700829631103,Unknown,0.000119
1645700829631103,Vysočina Region,0.030542
1645700829631103,Zlín Region,0.020044
1645700829631103,Ústí nad Labem Region,0.042466
933063195388931,Central Bohemian Region,0.094306
933063195388931,Hradec Králové Region,0.034348
933063195388931,Karlovy Vary Region,0.025008
933063195388931,Liberec Region,0.03013
933063195388931,Moravian-Silesian Region,0.09069
933063195388931,Olomouc Region,0.020789
933063195388931,Pardubice Region,0.031937
933063195388931,Plzeň Region,0.087677
933063195388931,Prague,0.409762
933063195388931,South Bohemian Region,0.031636
933063195388931,South Moravian Region,0.062669
933063195388931,Vysočina Region,0.023501
933063195388931,Zlín Region,0.015065
933063195388931,Ústí nad Labem Region,0.042483
1117886149761019,Central Bohemian Region,0.108127
1117886149761019,Hradec Králové Region,0.028762
1117886149761019,Karlovy Vary Region,0.01454
1117886149761019,Liberec Region,0.022159
1117886149761019,Moravian-Silesian Region,0.055556
1117886149761019,Olomouc Region,0.012889
1117886149761019,Pardubice Region,0.023238
1117886149761019,Plzeň Region,0.039302
1117886149761019,Prague,0.561365
1117886149761019,South Bohemian Region,0.028032
1117886149761019,South Moravian Region,0.042762
1117886149761019,Unknown,0.000444
1117886149761019,Vysočina Region,0.021746
1117886149761019,Zlín Region,0.013619
1117886149761019,Ústí nad Labem Region,0.02746
8502610509815543,Central Bohemian Region,0.132851
8502610509815543,Hradec Králové Region,0.037536
8502610509815543,Karlovy Vary Region,0.026936
8502610509815543,Liberec Region,0.037079
8502610509815543,Moravian-Silesian Region,0.04506
8502610509815543,Olomouc Region,0.025523
8502610509815543,Pardubice Region,0.039032
8502610509815543,Plzeň Region,0.085173
8502610509815543,Prague,0.338987
8502610509815543,South Bohemian Region,0.044602
8502610509815543,South Moravian Region,0.08563
8502610509815543,Unknown,0.000624
8502610509815543,Vysočina Region,0.031675
8502610509815543,Zlín Region,0.024608
8502610509815543,Ústí nad Labem Region,0.044686
807583424623131,Central Bohemian Region,0.133397
807583424623131,Hradec Králové Region,0.037318
807583424623131,Karlovy Vary Region,0.023449
807583424623131,Liberec Region,0.035394
807583424623131,Moravian-Silesian Region,0.030624
807583424623131,Olomouc Region,0.022407
807583424623131,Pardubice Region,0.040204
807583424623131,Plzeň Region,0.074034
807583424623131,Prague,0.381073
807583424623131,South Bohemian Region,0.044933
807583424623131,South Moravian Region,0.083414
807583424623131,Unknown,4.0E-5
807583424623131,Vysočina Region,0.032548
807583424623131,Zlín Region,0.022326
807583424623131,Ústí nad Labem Region,0.038841
1078269420379586,Central Bohemian Region,0.129529
1078269420379586,Hradec Králové Region,0.036614
1078269420379586,Karlovy Vary Region,0.03251
1078269420379586,Liberec Region,0.033472
1078269420379586,Moravian-Silesian Region,0.042706
1078269420379586,Olomouc Region,0.02924
1078269420379586,Pardubice Region,0.03873
1078269420379586,Plzeň Region,0.070407
1078269420379586,Prague,0.358256
1078269420379586,South Bohemian Region,0.04463
1078269420379586,South Moravian Region,0.080026
1078269420379586,Unknown,6.4E-5
1078269420379586,Vysočina Region,0.034947
1078269420379586,Zlín Region,0.025265
1078269420379586,Ústí nad Labem Region,0.043604
886744606173158,Hradec Králové Region,0.033762
886744606173158,Prague,0.501608
886744606173158,South Moravian Region,0.053055
886744606173158,South Bohemian Region,0.028939
886744606173158,Vysočina Region,0.033762
886744606173158,Karlovy Vary Region,0.019293
886744606173158,Liberec Region,0.025723
886744606173158,Olomouc Region,0.0209
886744606173158,Moravian-Silesian Region,0.03537
886744606173158,Pardubice Region,0.028939
886744606173158,Plzeň Region,0.049839
886744606173158,Central Bohemian Region,0.123794
886744606173158,Ústí nad Labem Region,0.0209
886744606173158,Zlín Region,0.024116
458148710373252,Unknown,0.000116
458148710373252,Hradec Králové Region,0.038447
458148710373252,Prague,0.305206
458148710373252,South Moravian Region,0.089385
458148710373252,South Bohemian Region,0.047292
458148710373252,Vysočina Region,0.033248
458148710373252,Karlovy Vary Region,0.022967
458148710373252,Liberec Region,0.042171
458148710373252,Olomouc Region,0.025916
458148710373252,Moravian-Silesian Region,0.036274
458148710373252,Pardubice Region,0.04318
458148710373252,Plzeň Region,0.090899
458148710373252,Central Bohemian Region,0.147152
458148710373252,Ústí nad Labem Region,0.051482
458148710373252,Zlín Region,0.026265
1530810711167897,Unknown,0.00013
1530810711167897,Hradec Králové Region,0.013835
1530810711167897,Prague,0.629803
1530810711167897,South Moravian Region,0.02008
1530810711167897,South Bohemian Region,0.018475
1530810711167897,Vysočina Region,0.013618
1530810711167897,Karlovy Vary Region,0.011146
1530810711167897,Liberec Region,0.017478
1530810711167897,Olomouc Region,0.009368
1530810711167897,Moravian-Silesian Region,0.013228
1530810711167897,Pardubice Region,0.013358
1530810711167897,Plzeň Region,0.035389
1530810711167897,Central Bohemian Region,0.168575
1530810711167897,Ústí nad Labem Region,0.028407
1530810711167897,Zlín Region,0.007112
1205703007262095,Unknown,4.8E-5
1205703007262095,Prague,0.379325
1205703007262095,Central Bohemian Region,0.141446
1205703007262095,Ústí nad Labem Region,0.042265
1205703007262095,South Moravian Region,0.079711
1205703007262095,Vysočina Region,0.030699
1205703007262095,Liberec Region,0.035036
1205703007262095,Moravian-Silesian Region,0.039133
1205703007262095,Pardubice Region,0.033446
1205703007262095,Plzeň Region,0.069446
1205703007262095,Zlín Region,0.024627
1205703007262095,Hradec Králové Region,0.037157
1205703007262095,South Bohemian Region,0.038795
1205703007262095,Karlovy Vary Region,0.022217
1205703007262095,Olomouc Region,0.026651
1465906464063733,Hradec Králové Region,0.037567
1465906464063733,Prague,0.342576
1465906464063733,South Moravian Region,0.098788
1465906464063733,South Bohemian Region,0.047605
1465906464063733,Vysočina Region,0.030014
1465906464063733,Karlovy Vary Region,0.028126
1465906464063733,Liberec Region,0.041542
1465906464063733,Olomouc Region,0.022461
1465906464063733,Moravian-Silesian Region,0.034983
1465906464063733,Pardubice Region,0.042139
1465906464063733,Plzeň Region,0.083482
1465906464063733,Central Bohemian Region,0.121944
1465906464063733,Ústí nad Labem Region,0.043629
1465906464063733,Zlín Region,0.024349
1465906464063733,Unknown,0.000795
433169242902127,Unknown,0.000677
433169242902127,Hradec Králové Region,0.037179
433169242902127,Prague,0.347842
433169242902127,South Moravian Region,0.108992
433169242902127,South Bohemian Region,0.042663
433169242902127,Vysočina Region,0.034752
433169242902127,Karlovy Vary Region,0.023339
433169242902127,Liberec Region,0.039046
433169242902127,Olomouc Region,0.025253
433169242902127,Moravian-Silesian Region,0.030481
433169242902127,Pardubice Region,0.040166
433169242902127,Plzeň Region,0.077578
433169242902127,Central Bohemian Region,0.123089
433169242902127,Ústí nad Labem Region,0.04306
433169242902127,Zlín Region,0.025883
278447535205390,Unknown,0.00071
278447535205390,Hradec Králové Region,0.039256
278447535205390,Prague,0.300814
278447535205390,South Moravian Region,0.089424
278447535205390,South Bohemian Region,0.050878
278447535205390,Vysočina Region,0.034026
278447535205390,Karlovy Vary Region,0.035318
278447535205390,Liberec Region,0.046423
278447535205390,Olomouc Region,0.030088
278447535205390,Moravian-Silesian Region,0.040096
278447535205390,Pardubice Region,0.041774
278447535205390,Plzeň Region,0.080837
278447535205390,Central Bohemian Region,0.133846
278447535205390,Ústí nad Labem Region,0.050943
278447535205390,Zlín Region,0.025568
274370739052476,Hradec Králové Region,0.031439
274370739052476,Prague,0.411902
274370739052476,South Moravian Region,0.080152
274370739052476,South Bohemian Region,0.039932
274370739052476,Vysočina Region,0.028013
274370739052476,Karlovy Vary Region,0.023263
274370739052476,Liberec Region,0.03904
274370739052476,Olomouc Region,0.021564
274370739052476,Moravian-Silesian Region,0.027322
274370739052476,Pardubice Region,0.033742
274370739052476,Plzeň Region,0.070478
274370739052476,Central Bohemian Region,0.133472
274370739052476,Ústí nad Labem Region,0.039471
274370739052476,Zlín Region,0.019923
274370739052476,Unknown,0.000288
1098323108084284,Hradec Králové Region,0.03851
1098323108084284,Prague,0.252464
1098323108084284,South Moravian Region,0.089176
1098323108084284,South Bohemian Region,0.054704
1098323108084284,Vysočina Region,0.034212
1098323108084284,Karlovy Vary Region,0.034342
1098323108084284,Liberec Region,0.044458
1098323108084284,Olomouc Region,0.030478
1098323108084284,Moravian-Silesian Region,0.045326
1098323108084284,Pardubice Region,0.048192
1098323108084284,Plzeň Region,0.104285
1098323108084284,Central Bohemian Region,0.138497
1098323108084284,Ústí nad Labem Region,0.057266
1098323108084284,Zlín Region,0.028003
1098323108084284,Unknown,8.7E-5
914306460282867,Unknown,0.000141
914306460282867,Hradec Králové Region,0.036084
914306460282867,Prague,0.307069
914306460282867,South Moravian Region,0.093664
914306460282867,South Bohemian Region,0.049334
914306460282867,Vysočina Region,0.033688
914306460282867,Karlovy Vary Region,0.030164
914306460282867,Liberec Region,0.039679
914306460282867,Olomouc Region,0.029741
914306460282867,Moravian-Silesian Region,0.03834
914306460282867,Pardubice Region,0.043766
914306460282867,Plzeň Region,0.09007
914306460282867,Central Bohemian Region,0.134541
914306460282867,Ústí nad Labem Region,0.048136
914306460282867,Zlín Region,0.025583
762708425744440,Unknown,0.000345
762708425744440,Hradec Králové Region,0.03828
762708425744440,Prague,0.330306
762708425744440,South Moravian Region,0.096639
762708425744440,South Bohemian Region,0.049163
762708425744440,Vysočina Region,0.035751
762708425744440,Karlovy Vary Region,0.026593
762708425744440,Liberec Region,0.03782
762708425744440,Olomouc Region,0.027321
762708425744440,Moravian-Silesian Region,0.034448
762708425744440,Pardubice Region,0.04238
762708425744440,Plzeň Region,0.081925
762708425744440,Central Bohemian Region,0.128252
762708425744440,Ústí nad Labem Region,0.043568
762708425744440,Zlín Region,0.027206
971254370797240,Hradec Králové Region,0.037725
971254370797240,Prague,0.358683
971254370797240,South Moravian Region,0.093862
971254370797240,South Bohemian Region,0.042066
971254370797240,Vysočina Region,0.037874
971254370797240,Karlovy Vary Region,0.032485
971254370797240,Liberec Region,0.03503
971254370797240,Olomouc Region,0.026946
971254370797240,Moravian-Silesian Region,0.041766
971254370797240,Pardubice Region,0.037126
971254370797240,Plzeň Region,0.073653
971254370797240,Central Bohemian Region,0.11512
971254370797240,Ústí nad Labem Region,0.044012
971254370797240,Zlín Region,0.023653
250990981010004,Nitra Region,0.002005
250990981010004,Central Bohemian Region,0.073684
250990981010004,South Bohemian Region,0.038095
250990981010004,Vysočina Region,0.017544
250990981010004,Karlovy Vary Region,0.020551
250990981010004,Liberec Region,0.028571
250990981010004,Olomouc Region,0.01604
250990981010004,Moravian-Silesian Region,0.023058
250990981010004,Pardubice Region,0.023559
250990981010004,Plzeň Region,0.053133
250990981010004,Ústí nad Labem Region,0.031078
250990981010004,Prague,0.249123
250990981010004,Zlín Region,0.013534
250990981010004,Banská Bystrica Region,0.001003
250990981010004,Bratislava Region,0.010025
250990981010004,Košice Region,0.002005
250990981010004,Žilina Region,0.003008
250990981010004,Dnipropetrovsk Oblast,0.029574
250990981010004,Ivano-Frankivsk Oblast,0.014536
250990981010004,Poltava Oblast,0.010025
250990981010004,South Moravian Region,0.070175
250990981010004,Hradec Králové Region,0.022556
250990981010004,Presov,0.001003
