Disclaimer,Year,Amount spent (CZK)
Andrej Babiš,2025,961843
KDU-ČSL,2025,492982
Občanská demokratická strana,2025,491287
Greenpeace Česká republika,2025,455730
Nadační fond pro Ukrajinu,2025,423944
"Člověk v tísni, o.p.s.",2025,317325
DICK-TATOR,2025,270701
Český rozhlas,2025,219284
Svoboda a přímá demokracie,2025,212909
Hnutí DUHA,2025,212456
"Milion Chvilek, z. s.",2025,172155
ODS - Občanská demokratická strana,2025,163948
Ministerstvo práce a sociálních věcí,2025,153029
Česká pirátská strana,2025,136046
STAROSTOVÉ A NEZÁVISLÍ,2025,118642
Starostové a nezávislí • STAN,2025,113606
"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",2025,110475
CZECH NEWS CENTER a. s.,2025,104888
Denik.to,2025,102601
ANO,2025,95507
Ondrej Prokop,2025,92498
Zjisti víc,2025,88760
Asociace pro mezinárodní otázky/Association for International Affairs,2025,84290
Jakub Horák,2025,82396
Aliance pro budoucnost,2025,80448
GEN 2025,2025,74786
TOP 09,2025,67705
"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",2025,64259
Odkryto.cz,2025,63573
Heroine.cz,2025,59001
Komunistická strana Čech a Moravy,2025,58645
PRAHA SOBĚ,2025,55795
Naše zdravotnictví,2025,54459
Kupředu do minulosti s.r.o.,2025,52669
OBRAZ - Obránci zvířat,2025,52377
XTV,2025,51845
Svoboda a přímá demokracie (SPD),2025,49817
Jana Maláčová,2025,49000
Fairtrade Česko a Slovensko,2025,48518
DFMG,2025,43535
Centrum pro regionální rozvoj České republiky,2025,41964
Nikola Bartůšek,2025,39556
Ecoista,2025,39446
"Svoboda zvířat Plzeň, z.s.",2025,38538
"Media Marketing Services, a.s.",2025,38342
"Post Bellum, z.ú.",2025,38020
Nadační fond PRAVDA O VODĚ,2025,35363
Radomír Nepil - místostarosta Osmičky,2025,34520
Česká pirátská strana - Praha,2025,29915
Daniel Kůs - Radní Plzně,2025,29645
Moravské zemské hnutí,2025,28860
Radim F. Holeček,2025,27920
Nadační fond Svědomí národa,2025,25946
Hnutí Pro život ČR,2025,25926
"ADRA, o.p.s.",2025,25001
Prague Security Studies Institute,2025,24356
Václav Pláteník,2025,24209
Amnesty International ČR,2025,22992
"Kurzy.cz, spol. s r.o.",2025,22504
ODS,2025,22382
Czech News Center,2025,21989
Replastuj.cz,2025,21250
Ekonomický deník,2025,21008
Roman Ďurčo,2025,20590
Ministerstvo zemědělství,2025,20405
Platforma pro sociální bydlení,2025,20000
Martin Kuba,2025,18972
"Giancarlo Lamberti, zastupitel Prahy 1",2025,18906
Jdeme o krok dál,2025,18681
Marie Pošarová - SPD,2025,18617
Stanislav Blaha,2025,18557
CARE Česká republika,2025,18171
Česká národní banka,2025,18086
Michal Slavík,2025,17818
Karin Podivinská - náměstkyně primátorky města Brna a kandidátka do Senátu,2025,17608
Lubomír Brož - poslanec Parlamentu ČR a radní Praha 5,2025,17324
Lukáš Vlček • ministr průmyslu a obchodu,2025,17255
ČSOB,2025,17002
Jana Hanzlíková - poslankyně,2025,16776
Sociální demokracie,2025,16443
Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,2025,16020
Obnovitelně.cz,2025,15180
PŘÍSAHA - občanské hnutí Roberta Šlachty,2025,14895
Living Media s.r.o.,2025,14853
Prague Pride z.s.,2025,14417
Hospodářské noviny,2025,14150
TRL Space Systems,2025,13620
Pavel Dobeš • místostarosta Prahy 3,2025,13589
Jeden svět Šumperk,2025,13533
Svobodní,2025,13478
Robert Teleky,2025,13470
Jan Bartošek,2025,12897
Jan Macháček,2025,12768
"Díky, že můžem, z. s.",2025,12618
"Kamila Bláhová, starostka a poslankyně",2025,12423
SPOLU pro Prahu,2025,11926
Students for Liberty CZ,2025,11797
Miroslav Zborovský - poslanec za JMK,2025,11671
Transparency International ČR,2025,10963
Agrární komora České republiky,2025,10791
Peter Tavel,2025,10758
Berenika Peštová-poslankyně,2025,10672
"Sinoskop – Institut pro současnou Čínu, z.s.",2025,10359
Město Hluboká nad Vltavou,2025,10297
Nadace Partnerství,2025,10081
Vodafone Czech Republic a.s.,2025,9999
CITYA mobility,2025,9966
Pardubický kraj,2025,9947
Marek Hrvol,2025,9927
Ekoškola,2025,9919
Karolína Kubisková,2025,9838
Jan Hušbauer,2025,9826
ANO 2011,2025,9763
Vojtěch Munzar,2025,9296
Kamal Farhan,2025,9280
Česká lékařská komora,2025,8909
EAFG Capital Ventures s.r.o.,2025,8674
Zbyněk Sýkora,2025,8647
"SH media, spol. s r.o.",2025,8386
Evropská komise v ČR,2025,8325
Gladio Marketing s.r.o.,2025,8267
Koalice Vlasta,2025,8239
Městská část Praha 3,2025,8214
Sociální bydlení v ČR,2025,8098
David Štolpa,2025,7968
Solární asociace,2025,7857
Jeden svět Ostrava,2025,7815
Plzeňský kraj,2025,7775
EURACTIV.cz,2025,7721
ŽIVOT 90,2025,7602
"Buď Čech, buď laska",2025,7585
Jan Kuchař - politik,2025,7556
Lucie Bartošová,2025,7500
Mad Duck booking,2025,7499
Každá plechovka se počítá,2025,7496
ET Zprávy,2025,7470
Štěpán Slovák,2025,7464
Standa Balík - senátor z Jeseníků,2025,7247
Karel Janeček,2025,7076
Nadace OSF,2025,6820
Českomoravská konfederace odborových svazů (ČMKOS),2025,6622
Luděk Niedermayer,2025,6587
Oldřich Hájek,2025,6493
Kancelář Evropského parlamentu v České republice,2025,6474
Zdeněk Hraba - senátor,2025,6301
Karel Dvořák,2025,6221
Hluk z Prahy 4 - Ledárny Braník,2025,6093
"Lobbio, z. s.",2025,6024
"LEXUM - oční kliniky, ambulance, optiky",2025,5868
Martin Kolovratník - ANO,2025,5868
Newsgate.cz,2025,5726
