Bylines,Bylines_key,Bylines_grp
Aliance Pro Budoucnost,0,Aliance Pro Budoucnost
Amnesty International Čr,1,Amnesty International Čr
Andrej Babiš,2,Ano
Ano,3,Ano
Ano 2011,4,Ano
Berenika Peštová-Poslankyně,5,Ano
Care Česká Republika,6,Care Česká Republika
Czech News Center A. S.,7,Czech News Center A. S.
Daniel Kůs - Radní Plzně,8,Česká Pirátská Strana
Denik.To,10,Denik.To
Dfmg,11,Dfmg
Dick-Tator,12,Dick-Tator
Ecoista,13,Ecoista
Eu Justice And Consumers,14,Eu Justice And Consumers
Eu Social,15,Eu Social
Europeum Institute For European Policy,16,Europeum Institute For European Policy
Fairtrade Česko A Slovensko,17,Fairtrade Česko A Slovensko
Ftv Prima,18,Ftv Prima
Greenpeace Česká Republika,19,Greenpeace Česká Republika
Heroine.Cz,20,Heroine.Cz
Hnutí Duha - Přátelé Země Česká Republika,21,Hnutí Duha - Přátelé Země
Jakub Horák,22,Česká Pirátská Strana
Jana Hanzlíková - Poslankyně,23,Ano
Jana Maláčová,24,Sociální Demokracie
Kamal Farhan,25,Ano
Karel Janeček,26,Karel Janeček
Karel Smetana,27,Kdu-Čsl
Kdu-Čsl,28,Kdu-Čsl
Komunistická Strana Čech A Moravy,29,Komunistická Strana Čech A Moravy
Kupředu Do Minulosti S.R.O.,30,Kupředu Do Minulosti S.R.O.
"Lékaři Bez Hranic - Médecins Sans Frontières In Czech Republic, O. P. S.",33,Lékaři Bez Hranic
Marie Pošarová - Spd,34,Svoboda A Přímá Demokracie
"Martin Benkovič, 1. Místostarosta Prahy 17 - Řepy",36,Ano
Martin Kuba,37,Občanská Demokratická Strana
"Milion Chvilek, Z. S.",39,"Milion Chvilek, Z. S."
Martin Baxa,35,Občanská Demokratická Strana
Ministerstvo Pro Místní Rozvoj Čr,40,Ministerstvo Pro Místní Rozvoj Čr
Ministerstvo Práce A Sociálních Věcí,41,Ministerstvo Práce A Sociálních Věcí
Nadační Fond Pravda O Vodě,42,Nadační Fond Pravda O Vodě
Nadační Fond Pro Ukrajinu,43,Nadační Fond Pro Ukrajinu
Nadační Fond Svědomí Národa,44,Nadační Fond Svědomí Národa
Naše Zdravotnictví,45,Naše Zdravotnictví
Nikola Bartůšek,46,Občanské hnutí Přísaha
Obraz - Obránci Zvířat,47,Obraz - Obránci Zvířat
Občanská Demokratická Strana,48,Občanská Demokratická Strana
Ods,49,Občanská Demokratická Strana
Ods - Občanská Demokratická Strana,50,Občanská Demokratická Strana
Oldřich Hájek,51,Ano
Ondrej Prokop,52,Ano
Pavla Pivoňka Vaňková Stan,53,Starostové A Nezávislí
Praha Sobě,54,Praha Sobě
Přísaha - Občanské Hnutí Roberta Šlachty,55,Občanské hnutí Přísaha
Radim F. Holeček,56,Ano
Radomír Nepil - Místostarosta Osmičky,57,Ano
Replastuj.Cz,58,Replastuj.Cz
Reportér Magazín,59,Reportér Magazín
Robert Teleky,60,Kdu-Čsl
Sen 21,62,Sen 21
Samuel Zabolotný,61,Ano
"Sh Media, Spol. S R.O.",63,"Sh Media, Spol. S R.O."
Sociální Demokracie,64,Sociální Demokracie
Stan,65,Starostové A Nezávislí
Starostové A Nezávislí,66,Starostové A Nezávislí
Starostové A Nezávislí • Stan,67,Starostové A Nezávislí
Svoboda A Přímá Demokracie,68,Svoboda A Přímá Demokracie
Svoboda A Přímá Demokracie (Spd),69,Svoboda A Přímá Demokracie
"Svoboda Zvířat Plzeň, Z.S.",70,"Svoboda Zvířat Plzeň, Z.S."
Tipsport,71,Tipsport
Tomáš Zdechovský,73,Kdu-Čsl
Top 09,74,Top 09
Transparency International Čr,75,Transparency International Čr
Xtv,78,Xtv
Zdeněk Hraba - Senátor,79,Starostové A Nezávislí
Tom Philipp,72,Kdu-Čsl
Václav Pláteník,76,Kdu-Čsl
Zelení - Strana Zelených,80,Zelení - Strana Zelených
Zjisti Víc,81,Zjisti Víc
Česká Pirátská Strana,82,Česká Pirátská Strana
Česká Pirátská Strana - Praha,83,Česká Pirátská Strana
Vítězslav Schrek,77,Občanská Demokratická Strana
Český Rozhlas,84,Český Rozhlas
Člověk V Tísni O.P.S.,85,Člověk V Tísni O.P.S.
"Člověk V Tísni, O.P.S.",86,Člověk V Tísni O.P.S.
Čsob,87,Čsob
Štěpán Slovák,88,Občanská Demokratická Strana
Martin Kupka,38,Občanská Demokratická Strana
David Surý - Tvor Komunální,9,Kdu-Čsl
Lubomír Brož - Poslanec Parlamentu Čr A Radní Praha 5,31,Ano
Lubomír Brož - Poslanec Parlamentu Čr A Zastupitel Praha 5,32,Ano
