Bylines,Bylines_key,Bylines_grp,is_political
Aliance Pro Budoucnost,0,Aliance Pro Budoucnost,0
Amnesty International Čr,1,Amnesty International Čr,0
Andrej Babiš,2,Ano,1
Ano,3,Ano,1
Ano 2011,4,Ano,1
Berenika Peštová-Poslankyně,5,Ano,1
Care Česká Republika,6,Care Česká Republika,0
Czech News Center A. S.,7,Czech News Center A. S.,0
Daniel Kůs - Radní Plzně,8,Česká Pirátská Strana,1
Denik.To,10,Denik.To,0
Dfmg,11,Dfmg,0
Dick-Tator,12,Dick-Tator,0
Ecoista,13,Ecoista,0
Eu Justice And Consumers,14,Eu Justice And Consumers,0
Eu Social,15,Eu Social,0
Europeum Institute For European Policy,16,Europeum Institute For European Policy,0
Fairtrade Česko A Slovensko,17,Fairtrade Česko A Slovensko,0
Ftv Prima,18,Ftv Prima,0
Greenpeace Česká Republika,19,Greenpeace Česká Republika,0
Heroine.Cz,20,Heroine.Cz,0
Hnutí Duha - Přátelé Země Česká Republika,21,Hnutí Duha - Přátelé Země,0
Jakub Horák,22,Česká Pirátská Strana,1
Jana Hanzlíková - Poslankyně,23,Ano,1
Jana Maláčová,24,Sociální Demokracie,1
Kamal Farhan,25,Ano,1
Karel Janeček,26,Karel Janeček,0
Karel Smetana,27,Kdu-Čsl,1
Kdu-Čsl,28,Kdu-Čsl,1
Komunistická Strana Čech A Moravy,29,Komunistická Strana Čech A Moravy,1
Kupředu Do Minulosti S.R.O.,30,Kupředu Do Minulosti S.R.O.,0
"Lékaři Bez Hranic - Médecins Sans Frontières In Czech Republic, O. P. S.",33,Lékaři Bez Hranic,0
Marie Pošarová - Spd,34,Svoboda A Přímá Demokracie,1
"Martin Benkovič, 1. Místostarosta Prahy 17 - Řepy",36,Ano,1
Martin Kuba,37,Občanská Demokratická Strana,1
"Milion Chvilek, Z. S.",39,"Milion Chvilek, Z. S.",0
Martin Baxa,35,Občanská Demokratická Strana,1
Ministerstvo Pro Místní Rozvoj Čr,40,Ministerstvo Pro Místní Rozvoj Čr,0
Ministerstvo Práce A Sociálních Věcí,41,Ministerstvo Práce A Sociálních Věcí,0
Nadační Fond Pravda O Vodě,42,Nadační Fond Pravda O Vodě,0
Nadační Fond Pro Ukrajinu,43,Nadační Fond Pro Ukrajinu,0
Nadační Fond Svědomí Národa,44,Nadační Fond Svědomí Národa,0
Naše Zdravotnictví,45,Naše Zdravotnictví,0
Nikola Bartůšek,46,Občanské hnutí Přísaha,1
Obraz - Obránci Zvířat,47,Obraz - Obránci Zvířat,0
Občanská Demokratická Strana,48,Občanská Demokratická Strana,1
Ods,49,Občanská Demokratická Strana,1
Ods - Občanská Demokratická Strana,50,Občanská Demokratická Strana,1
Oldřich Hájek,51,Ano,1
Ondrej Prokop,52,Ano,1
Pavla Pivoňka Vaňková Stan,53,Starostové A Nezávislí,1
Praha Sobě,54,Praha Sobě,0
Přísaha - Občanské Hnutí Roberta Šlachty,55,Občanské hnutí Přísaha,1
Radim F. Holeček,56,Ano,1
Radomír Nepil - Místostarosta Osmičky,57,Ano,1
Replastuj.Cz,58,Replastuj.Cz,0
Reportér Magazín,59,Reportér Magazín,0
Robert Teleky,60,Kdu-Čsl,1
Sen 21,62,Sen 21,0
Samuel Zabolotný,61,Ano,1
"Sh Media, Spol. S R.O.",63,"Sh Media, Spol. S R.O.",0
Sociální Demokracie,64,Sociální Demokracie,1
Stan,65,Starostové A Nezávislí,1
Starostové A Nezávislí,66,Starostové A Nezávislí,1
Starostové A Nezávislí • Stan,67,Starostové A Nezávislí,1
Svoboda A Přímá Demokracie,68,Svoboda A Přímá Demokracie,1
Svoboda A Přímá Demokracie (Spd),69,Svoboda A Přímá Demokracie,1
"Svoboda Zvířat Plzeň, Z.S.",70,"Svoboda Zvířat Plzeň, Z.S.",0
Tipsport,71,Tipsport,0
Tomáš Zdechovský,73,Kdu-Čsl,1
Top 09,74,Top 09,1
Transparency International Čr,75,Transparency International Čr,0
Xtv,78,Xtv,0
Zdeněk Hraba - Senátor,79,Starostové A Nezávislí,1
Tom Philipp,72,Kdu-Čsl,1
Václav Pláteník,76,Kdu-Čsl,1
Zelení - Strana Zelených,80,Zelení - Strana Zelených,1
Zjisti Víc,81,Zjisti Víc,0
Česká Pirátská Strana,82,Česká Pirátská Strana,1
Česká Pirátská Strana - Praha,83,Česká Pirátská Strana,1
Vítězslav Schrek,77,Občanská Demokratická Strana,1
Český Rozhlas,84,Český Rozhlas,0
Člověk V Tísni O.P.S.,85,Člověk V Tísni O.P.S.,0
"Člověk V Tísni, O.P.S.",86,Člověk V Tísni O.P.S.,0
Čsob,87,Čsob,0
Štěpán Slovák,88,Občanská Demokratická Strana,1
Martin Kupka,38,Občanská Demokratická Strana,1
David Surý - Tvor Komunální,9,Kdu-Čsl,1
Lubomír Brož - Poslanec Parlamentu Čr A Radní Praha 5,31,Ano,1
Lubomír Brož - Poslanec Parlamentu Čr A Zastupitel Praha 5,32,Ano,1
