Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
278117815576023,EU Justice and Consumers,EU Justice and Consumers,23665,30
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,9165,33
116445271562547,Zapojme Ukrajinu,Nadační fond pro Ukrajinu,5651,2
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",4942,7
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,4607,9
487445514669670,Petr Fiala,Občanská demokratická strana,4462,5
181682098362773,DICK-TATOR,DICK-TATOR,3763,9
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,3581,6
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,2735,29
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,2535,4
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1896,6
100843142503124,ZjistiVíc.cz,Zjisti víc,1837,15
55408246161,Amnesty International ČR,Amnesty International ČR,1791,13
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,1788,4
109056560836,iFortuna.cz,iFortuna.cz,1737,1
305841779280815,Standa Balík - kluk z Jeseníků v Senátu,Stanislav Balík,1709,4
241108842691754,Magnesia,These ads ran without a disclaimer,1628,1
2214398435317853,CNN Prima NEWS,FTV Prima,1616,2
163914317133681,Jana Hanzlíková - poslankyně,Jana Hanzlíková - poslankyně,1549,2
251656685576,KDU-ČSL,KDU-ČSL,1391,5
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",1371,18
1469427909957890,Reportér magazín,Reportér magazín,1322,16
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",1289,20
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",1271,4
214827221987263,Andrej Babiš,Andrej Babiš,1181,2
223117541065037,Karel Janeček,Karel Janeček,1096,2
111210916534,Příběhy bezpráví,Příběhy bezpráví,1061,4
424114981002397,Český rozhlas Plus,Český rozhlas,1029,20
384187235387895,Alena Schillerová,ANO,961,1
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie (SPD),959,1
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,926,4
197010357446014,Ondřej Prokop,Ondrej Prokop,905,3
393968607139343,Good Company Circle,Good Company Circle,893,2
60516116431,Člověk v tísni,These ads ran without a disclaimer,868,2
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,840,3
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",817,17
107736952362788,Denik.to,Denik.to,816,10
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,774,15
579215965436046,JSNS,JSNS,773,5
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",762,2
102778979062932,Digitální Česko,Úřad vlády České republiky,718,1
495496033796328,Stanislav Blaha,Stanislav Blaha,697,15
157741540937883,CARE Česká republika,CARE Česká republika,694,12
693725074166331,Naše zdravotnictví,Naše zdravotnictví,635,3
40583438943,NESEHNUTÍ,NESEHNUTÍ,629,6
392036724286541,Zdravotnický deník,Limegreen s.r.o.,627,3
426693680519323,Slibem neuzdravíš,Lékařský odborový klub - Svaz českých lékařů,611,1
102763112397884,Jan Hušbauer,Jan Hušbauer,543,2
111107168256877,Karel Dvořák,Karel Dvořák,522,2
139379141293,Paměť národa,"Post Bellum, z.ú.",513,5
125453991470833,SEN 21 - politické hnutí,SEN 21,506,1
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,477,2
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,474,1
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,468,5
364927456714255,jiri.pribyl,These ads ran without a disclaimer,466,1
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,466,5
822146574595819,Agrární komora České republiky,Agrární komora České republiky,433,1
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",429,10
711658465662315,XTV,XTV,426,38
123343344354078,"Hitrádio City 93,7 FM","Media Marketing Services, a.s.",419,2
103059308644099,Replastuj.cz,Replastuj.cz,410,4
125830487980906,Solární asociace,Solární asociace,405,2
107563435940797,Skanska v ČR a SR,Skanska v ČR a SR,404,2
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",385,4
90002267161,TOP 09,TOP 09,369,7
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,365,4
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,363,2
609246842426009,Rekonstrukce státu,Rekonstrukce státu,358,4
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",354,2
148545228915507,Mad Duck booking,Mad Duck booking,341,1
267751653384029,Pardubický kraj,Pardubický kraj,340,1
103567498863549,Ecoista,Ecoista,340,4
129493966920107,Investipo,EAFG Capital Ventures s.r.o.,336,1
107744397623418,Pavel Křeček • radní Prahy 3,Pavel Křeček • radní Prahy 3,328,1
209788605791373,Heinrich-Böll-Stiftung Prague,"Heinrich-Böll-Stiftung e.V., kancelář v Praze",319,2
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,316,9
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,307,1
107699787442928,Nadační fond ŠKODA AUTO,Nadační fond ŠKODA AUTO,297,2
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,292,1
103895482145144,Zdeněk Kettner - SPD,Zdeněk Kettner - SPD,288,1
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,287,6
108254295004217,Jdeme o krok dál,Jdeme o krok dál,287,1
148545228915507,Mad Duck booking,These ads ran without a disclaimer,285,2
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,285,1
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,274,3
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,260,1
40155481542,ROMEA,"ROMEA, o. p. s.",247,6
770288256666948,Paměť národa Plzeňský kraj,"POST BELLUM, z. ú.",246,1
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,241,4
114535710292639,Homeenergy.cz,These ads ran without a disclaimer,238,1
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",226,2
105422232487401,Bold News,Bold News,216,3
116720238070135,Petr Nováček,Petr Nováček,216,2
200800880372384,Nový Prostor,"Nový Prostor, z.ú.",214,1
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",206,1
101051231364600,Miroslav Zborovský - poslanec za JMK,Miroslav Zborovský - poslanec za JMK,200,2
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,199,3
72854632984,Hitrádio ORION,"Media Marketing Services, a.s.",190,1
1889377324515249,Praha 1,Úřad městské části Praha 1,187,2
310340246475353,Nové Boleslavsko,Nové Boleslavsko,184,1
119441777836709,CITYA mobility,CITYA mobility,177,6
573004246504627,Bohéma,Bohéma,172,13
102913365637780,STAN Brno-Starý Lískovec,STAN Brno-Starý Lískovec,169,2
102368582415300,Hnutí za levnější vodu v Protivíně,"PRodukujeme, s. r. o.",168,2
1833777390242834,Centrum PANT,Centrum PANT,164,1
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",158,2
370893616113485,Petr Kowanda,Petr Kowanda,157,3
443133249062600,STAN Jihočeský kraj,STAN Jihočeský kraj,155,3
164815317047040,Jan Bureš,Jan Bureš,150,2
863066993754032,LOCIKA - centrum pro děti ohrožené domácím násilím,Centrum LOCIKA,148,1
104976129105222,"Pavel Šutka, místostarosta Desítky","Pavel Šutka, místostarosta Desítky",146,1
349496602364,ODS Středočeský kraj,ODS Středočeský kraj,146,1
105928175350796,Mária Ševčíková - 1. místostarostka Prahy 14,Mária Ševčíková - 1. místostarostka Prahy 14,143,2
192892890746298,Aerofilms,Aerofilms,138,2
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,137,1
153535188480725,Piráti České Budějovice,Česká pirátská strana,137,2
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,137,1
183496134175,Radio Prague,Český rozhlas,135,2
102844685102730,Olga Richterová - místopředsedkyně Sněmovny,Česká pirátská strana,133,1
162177293829972,Rádio Blaník,"Media Marketing Services, a.s.",133,1
983533828348884,Jana Komrsková - náměstkyně pro životní prostředí,Česká pirátská strana - Praha,132,1
810056782516469,Patrik Nacher,ANO,130,1
1701718886552103,Moje Evropa,Moje Evropa,130,2
117823623864,Transparency International ČR,Transparency International ČR,128,3
101134762378681,Michaela Šebelová,STAROSTOVÉ A NEZÁVISLÍ,123,1
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,122,1
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,ODS,121,7
1624542154525628,Vítězslav Novák,Vítězslav Novák,121,4
1451909405021929,Applifting,Applifting s.r.o.,119,2
731980267233834,AllatRa TV Česko-Slovensko,AllatRa TV Česko-Slovensko,119,1
124872365383,CROSS][CLUB - officiall,CROSS][CLUB - officiall,115,1
284944781875,EURACTIV.cz,EURACTIV.cz,114,5
192926034666717,Václav Pláteník,Václav Pláteník,111,4
1982660762016859,Zuzana Ožanová - poslankyně,Zuzana Ožanová - poslankyně,109,3
2724697507604207,Petr Kratochvíl - radní města Brna pro dopravu,Petr Kratochvíl - radní města Brna pro dopravu,107,1
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,107,3
162620837267478,Jan Bartošek,Jan Bartošek,106,3
461340680584235,Mladí lidovci,Mladí lidovci,105,1
248141645314682,RUBIKON Centrum,RUBIKON Centrum,104,1
467298366652832,Радио Прага,Радио Прага,103,1
1956144064659620,BlueTV,Aliance pro budoucnost,≤100,5
107473258147235,"Stanislav Nekolný, MBA, místostarosta Prahy 18 - Letňany","Stanislav Nekolný, MBA, místostarosta Prahy 18 - Letňany",≤100,1
319958294730813,Jihomoravský kraj,Krajský úřad Jihomoravského kraje,≤100,2
1060889564019324,Tomáš Prouza,Tomáš Prouza,≤100,1
104083252536484,František Bureš,František Bureš,≤100,1
114337041552313,Václav Cinádr - místostarosta Plzeň 2-Slovany,Václav Cinádr - místostarosta Plzeň 2-Slovany,≤100,1
254814835091677,Petr Venhoda,Petr Venhoda,≤100,1
662196877287140,Tomáš Třetina,PRodukujeme,≤100,1
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",≤100,1
124212050978293,Kverulant org,Kverulant org,≤100,1
289326184364,PRAGMOON,These ads ran without a disclaimer,≤100,1
317530692148022,Evropa v datech,DFMG,≤100,2
137072422819787,Radka Šimková - starostka Prahy 5,PRAHA SOBĚ,≤100,1
312759208382,TOP 09 - Plzeňský kraj,TOP 09,≤100,2
574403236101561,Ivo Vondrák,hnutí O.k.,≤100,1
516868975113344,ODS Bílina,"ODS - Občanská demokratická strana, místní sdružení Bílina",≤100,1
118342924551944,Rostislav Šťastný,Rostislav Šťastný,≤100,1
1962450550674040,TVarchitect.com,Living Media s.r.o.,≤100,1
456578391030191,Vzdělávací program Varianty -  Člověk v tísni,Člověk v tísni o.p.s.,≤100,2
101703942538470,René Černý - 1. náměstek primátorky města Brna,René Černý - 1. náměstek primátorky města Brna,≤100,1
102919891383931,Domy sobě,These ads ran without a disclaimer,≤100,1
107996628144164,PRAHA 6 SOBĚ,PRAHA SOBĚ,≤100,1
0,Instagram User 5392867513,These ads ran without a disclaimer,≤100,1
271688916342751,"Michael Sinkule, zastupitel MO Plzeň 3","Michael Sinkule, zastupitel MO Plzeň 3",≤100,2
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,≤100,1
2242877092705890,Adam Zábranský - pražský radní,Česká pirátská strana - Praha,≤100,1
101912608033407,Petra Prokšanová,Petra Prokšanová,≤100,2
441371052635518,Peter Harvánek - veřejný profil,Peter Harvánek - veřejný profil,≤100,1
213802435698566,TVbydleni.cz,Living Media s.r.o.,≤100,1
241669269037364,Tomáš Messing,Spolek Odchod,≤100,3
1240809492610426,Jan Jakob,Jan Jakob,≤100,1
321762510282,Michal Kučera,Michal Kučera,≤100,1
107077655231421,profihotovost.cz,These ads ran without a disclaimer,≤100,1
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100,1
1532749866981060,AynRand.cz,AynRand.cz,≤100,1
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",≤100,1
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,≤100,5
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš - místostarosta Prahy 12,≤100,1
426667000534079,"Kamila Bláhová, starostka a poslankyně","Kamila Bláhová, starostka a poslankyně",≤100,1
528573226994553,Peter Tavel - váš kandidát na rektora,Peter Tavel,≤100,2
204829789371435,"Pavel Václav Kohout, starosta Opatovic nad Labem",Konektor Digital,≤100,1
553773474671244,Martin Kupka,Občanská demokratická strana,≤100,1
105199845319158,Tomáš Kaněra - starosta MČ Praha 22,Tomáš Kaněra - starosta MČ Praha 22,≤100,1
100970769093658,Jana Berkovcová,Jana Berkovcová,≤100,1
2198949580361251,Marek Viskot,Marek Viskot,≤100,1
101303247913146,Průvodce podnikáním,These ads ran without a disclaimer,≤100,1
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",≤100,1
154933116927,Socialistická Solidarita (SocSol),"Socialistická Solidarita, z.s.",≤100,1
188170248637576,ODS Tichá,ODS Tichá,≤100,1
112201698344047,Milan Urban,Milan Urban,≤100,1
353798643589,Nadace OSF,Nadace OSF,≤100,1
332018473557072,ODS Kolín,ODS Kolín,≤100,1
273251297864533,"Michal Vronský, starosta Prahy 3","Michal Vronský, starosta Prahy 3",≤100,1
557700780951101,"Vojtěch Bednář, sociolog","Vojtěch Bednář, sociolog",≤100,1
176173883021695,Robert Stržínek,Robert Stržínek,≤100,1
1752120748373620,Jana Šťastná - místostarostka Židenic,These ads ran without a disclaimer,≤100,1
1410403182565683,Petr Hladík,KDU-ČSL,≤100,4
232458533991461,Prostějov Na rovinu,Prostějov Na rovinu,≤100,1
315747282263515,"Jakub Stárek, starosta Šestky",Jakub Stárek,≤100,2
103568159436395,Datarun.cz,These ads ran without a disclaimer,≤100,1
1649724681776439,ProMOST,ProMOST,≤100,1
208161775704251,Martin Pošta - náměstek primátora,Martin Pošta - náměstek primátora,≤100,2
549762515189935,Lucie Šafránková,Lucie Šafránková,≤100,1
100760001626922,Martin Sedeke,Martin Sedeke,≤100,1
112758851612930,Monika Shaw Salajová - místostarostka Prahy 5,Monika Shaw Salajová - místostarostka Prahy 5,≤100,2
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,≤100,1
558995474161225,Kaktus,These ads ran without a disclaimer,≤100,1
