Bylines_grp,page_id,url_key
Ano,ano.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Kdu-Čsl,kducsl.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
Komunistická Strana Čech A Moravy,kscm.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kscm.png
Občanská Demokratická Strana,ods.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Česká Pirátská Strana,pirati.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/pirati.png
Občanské hnutí Přísaha,prisaha.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/prisaha.png
Sociální Demokracie,socdem.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/socdem.png
Svoboda A Přímá Demokracie,spd.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/spd.png
Starostové A Nezávislí,stan.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
Top 09,top.png,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/top.png
