Page ID,Page name,Disclaimer,Amount spent (CZK)
110554525653740,Karlovarský kraj - oficiální stránka,Karlovarský kraj,40707
278117815576023,EU Justice and Consumers,EU Justice and Consumers,14596
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,13926
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,13424
487445514669670,Petr Fiala,Občanská demokratická strana,8250
214827221987263,Andrej Babiš,Andrej Babiš,7992
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",7579
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,6720
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",6347
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,4787
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",4686
164815317047040,Jan Bureš,Jan Bureš,4521
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,4458
183287971525413,Chaos12,These ads ran without a disclaimer,4083
295889117124834,Tipsport,Tipsport,3982
134019826669125,Česká divočina,Hnutí DUHA,3858
157741540937883,CARE Česká republika,CARE Česká republika,3857
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",3414
251656685576,KDU-ČSL,KDU-ČSL,3167
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",3081
116445271562547,Dárek,Nadační fond pro Ukrajinu,3059
181682098362773,DICK-TATOR,DICK-TATOR,2740
424114981002397,Český rozhlas Plus,Český rozhlas,2580
122074554119,EU Social,EU Social,2498
107736952362788,Denik.to,Denik.to,2302
2214398435317853,CNN Prima NEWS,FTV Prima,2051
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,1912
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,1840
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,1757
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",1724
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",1682
579215965436046,JSNS,JSNS,1668
100843142503124,Podcast Zjisti víc,Zjisti víc,1645
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,1637
384187235387895,Alena Schillerová,ANO,1635
90002267161,TOP 09,TOP 09,1560
55408246161,Amnesty International ČR,Amnesty International ČR,1508
1469427909957890,Reportér magazín,Reportér magazín,1463
197010357446014,Ondřej Prokop,Ondrej Prokop,1460
693725074166331,Naše zdravotnictví,Naše zdravotnictví,1423
100568506223945,Valdes kouguem,These ads ran without a disclaimer,1396
102778979062932,Digitální Česko,Úřad vlády České republiky,1313
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,1291
