Page ID,Page name,Disclaimer,Amount spent (CZK)
278117815576023,EU Justice and Consumers,EU Justice and Consumers,84077
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,81671
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,58991
487445514669670,Petr Fiala,Občanská demokratická strana,56488
214827221987263,Andrej Babiš,Andrej Babiš,50221
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",45450
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",41970
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,39175
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,33117
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",25908
295889117124834,Tipsport,Tipsport,22220
157741540937883,CARE Česká republika,CARE Česká republika,21650
183287971525413,Chaos12,These ads ran without a disclaimer,20564
134019826669125,Česká divočina,Hnutí DUHA,19568
116445271562547,Dárek,Nadační fond pro Ukrajinu,19011
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",18695
181682098362773,DICK-TATOR,DICK-TATOR,17470
107736952362788,Denik.to,Denik.to,16336
251656685576,KDU-ČSL,KDU-ČSL,16322
424114981002397,Český rozhlas Plus,Český rozhlas,15664
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,14508
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,13684
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,13591
2214398435317853,CNN Prima NEWS,FTV Prima,12862
1469427909957890,Reportér magazín,Reportér magazín,11014
100843142503124,Podcast Zjisti víc,Zjisti víc,10618
693725074166331,Naše zdravotnictví,Naše zdravotnictví,10241
55408246161,Amnesty International ČR,Amnesty International ČR,10144
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,9797
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",9716
122074554119,EU Social,EU Social,9513
384187235387895,Alena Schillerová,ANO,9417
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",9230
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,9082
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,8634
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,8480
197010357446014,Ondřej Prokop,Ondrej Prokop,8265
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,7865
392036724286541,Zdravotnický deník,Limegreen s.r.o.,7807
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,7717
102778979062932,Digitální Česko,Úřad vlády České republiky,7559
1833777390242834,Centrum PANT,Centrum PANT,7492
113322746709049,Karel Havlíček,ANO,7412
139379141293,Paměť národa,"Post Bellum, z.ú.",7037
192892890746298,Aerofilms,Aerofilms,6977
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,6924
103567498863549,Ecoista,Ecoista,6848
90002267161,TOP 09,TOP 09,6804
100201752249169,Spolu21,Občanská demokratická strana,6677
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",6537
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,6431
117823623864,Transparency International ČR,Transparency International ČR,6363
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",6110
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,5964
711658465662315,XTV,XTV,5938
441371052635518,Peter Harvánek - veřejný profil,Peter Harvánek - veřejný profil,5814
100568506223945,Valdes kouguem,These ads ran without a disclaimer,5789
108726857444837,České zájmy v EU,DFMG,5459
109510844114220,Bohuslav Niemiec,KDU-ČSL,5163
111210916534,Příběhy bezpráví,Příběhy bezpráví,5087
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,5043
101134762378681,Michaela Šebelová,STAROSTOVÉ A NEZÁVISLÍ,4987
609246842426009,Rekonstrukce státu,Rekonstrukce státu,4939
129493966920107,Investipo,EAFG Capital Ventures s.r.o.,4861
40155481542,ROMEA,"ROMEA, o. p. s.",4734
415472211798220,Prague Pride,Prague Pride z.s.,4647
102763112397884,Jan Hušbauer,Jan Hušbauer,4585
103059308644099,Replastuj.cz,Replastuj.cz,4535
393968607139343,Good Company Circle,Good Company Circle,4430
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,4380
105243115766863,Síť k ochraně demokracie,Síť k ochraně demokracie,4353
109056560836,iFortuna.cz,iFortuna.cz,4200
382641704925474,Ocelový fénix,AMI Communications,4097
93433992603,Hospodářské noviny,Hospodářské noviny,3972
204790179389399,RARE Racionální regulace,RARE Racionální regulace,3953
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",3894
1812098778828241,Ostravak,"Ostravak, politické hnutí",3799
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,3790
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,3716
223117541065037,Karel Janeček,Karel Janeček,3706
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",3585
115106741622257,Roman Ďurčo,Roman Ďurčo,3476
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,3455
102575351265303,Silent Woods,These ads ran without a disclaimer,3433
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",3407
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,3407
40583438943,NESEHNUTÍ,NESEHNUTÍ,3400
731980267233834,AllatRa TV Česko-Slovensko,AllatRa TV Česko-Slovensko,3281
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,3232
284944781875,EURACTIV.cz,EURACTIV.cz,3212
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,3188
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,3079
301374529736447,Midea Česko,These ads ran without a disclaimer,2949
202566776504980,ŽIVOT 90,ŽIVOT 90,2838
579215965436046,JSNS,JSNS,2803
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",2784
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,2666
799083753454179,Voxpot,Voxpot z. ú.,2557
