Page ID,Page name,Disclaimer,Amount spent (CZK)
278117815576023,EU Justice and Consumers,EU Justice and Consumers,140677
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",136665
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,134633
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,104958
487445514669670,Petr Fiala,Občanská demokratická strana,92954
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,81489
116445271562547,Dárek,Nadační fond pro Ukrajinu,77574
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,67005
197010357446014,Ondřej Prokop,Ondrej Prokop,62173
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",58143
1956144064659620,BlueTV,Aliance pro budoucnost,56819
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",55269
90002267161,TOP 09,TOP 09,46921
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",45591
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,41798
280617905401953,Alexandra Udženija,Občanská demokratická strana,41219
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,40893
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",38994
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,37662
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,37431
181682098362773,DICK-TATOR,DICK-TATOR,35205
134019826669125,Česká divočina,Hnutí DUHA,33131
187407575190610,Adam Scheinherr,PRAHA SOBĚ,32997
295889117124834,Tipsport,Tipsport,31934
157741540937883,CARE Česká republika,CARE Česká republika,30427
214827221987263,Andrej Babiš,Andrej Babiš,28045
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",26792
122074554119,EU Social,EU Social,26516
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,18997
424114981002397,Český rozhlas Plus,Český rozhlas,18919
102778979062932,Digitální Česko,Úřad vlády České republiky,18349
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,18221
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,17514
192892890746298,Aerofilms,Aerofilms,17204
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,16996
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,16666
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,16223
101279652413889,SPOLU pro Prahu,SPOLU pro Prahu,16047
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",15651
183287971525413,Chaos12,These ads ran without a disclaimer,15575
111107168256877,Karel Dvořák,Karel Dvořák,15524
251656685576,KDU-ČSL,KDU-ČSL,14676
100258505300069,Za bydlení,Za bydlení,14566
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,14198
1469427909957890,Reportér magazín,Reportér magazín,13966
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Pavel Dobeš • místostarosta Prahy 3,13770
100843142503124,Podcast Zjisti víc,Zjisti víc,13735
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",11391
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,11277
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,10981
107736952362788,Denik.to,Denik.to,10273
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",10035
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,9882
2019114464985347,Chyťte Bureše,Chyťte Bureše,9751
109323929038,Česká pirátská strana,Česká pirátská strana,9725
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",9101
202566776504980,ŽIVOT 90,ŽIVOT 90,8849
55408246161,Amnesty International ČR,Amnesty International ČR,8823
2214398435317853,CNN Prima NEWS,FTV Prima,8810
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,8671
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,8348
93433992603,Hospodářské noviny,Hospodářské noviny,7896
117823623864,Transparency International ČR,Transparency International ČR,7751
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,7667
40583438943,NESEHNUTÍ,NESEHNUTÍ,7547
271054846258904,Praha 3,Městská část Praha 3,7461
139379141293,Paměť národa,"Post Bellum, z.ú.",7296
1094454530733590,KLDR živě: Za 38. rovnoběžkou,KLDR živě: Za 38. rovnoběžkou,7288
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,7188
693725074166331,Naše zdravotnictví,Naše zdravotnictví,7167
129493966920107,Investipo,EAFG Capital Ventures s.r.o.,7100
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,7031
1395881230682843,Luděk Niedermayer,Luděk Niedermayer,7008
111210916534,Příběhy bezpráví,Příběhy bezpráví,6777
103567498863549,Ecoista,Ecoista,6630
38492561701,AutoMat,"AutoMat, z.s.",6591
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,6542
109056560836,iFortuna.cz,iFortuna.cz,6412
609246842426009,Rekonstrukce státu,Rekonstrukce státu,6391
1458827397686128,Koalice Vlasta,Koalice Vlasta,6300
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",6251
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",6230
711658465662315,XTV,XTV,6218
393968607139343,Good Company Circle,Good Company Circle,6113
107744397623418,Pavel Křeček • radní Prahy 3,Pavel Křeček • radní Prahy 3,6108
100201752249169,Spolu21,Občanská demokratická strana,6002
573004246504627,Bohéma,Bohéma,5907
461430503957309,TOP 09 - Praha 6,TOP 09,5907
158980731475210,Nina Spitalnikova,Nina Spitalnikova,5789
1674237579543550,JTZE,JTZE,5762
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš - místostarosta Prahy 12,5724
100568506223945,Valdes kouguem,These ads ran without a disclaimer,5586
415472211798220,Prague Pride,Prague Pride z.s.,5585
349564778485733,Students for Liberty CZ,Students for Liberty CZ,5556
223117541065037,Karel Janeček,Karel Janeček,5530
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,5492
102763112397884,Jan Hušbauer,Jan Hušbauer,5126
200800880372384,Nový Prostor,"Nový Prostor, z.ú.",5071
128758673882866,Václav Láska - Právo s Láskou,SEN 21,4999
257529307701966,Jiří Pospíšil,TOP 09,4885
252375370791,In IUSTITIA,"In IUSTITIA, o.p.s.",4540
221273594412886,Despre Moldova - Cehia,Despre Moldova - Cehia,4519
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,4378
155406703122,Arnika,Arnika,4367
204790179389399,RARE Racionální regulace,RARE Racionální regulace,4347
315972808450196,ČSOB,ČSOB,4336
211835588951012,"Bohuslav Svoboda, primátor hl. m. Prahy",Občanská demokratická strana,4333
169320288528475,David Kašpar - místostarosta Prahy 10,David Kašpar - místostarosta Prahy 10,4265
