Page ID,Page name,Disclaimer,Amount spent (CZK)
278117815576023,EU Justice and Consumers,EU Justice and Consumers,74405
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,55113
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,55060
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",49119
487445514669670,Petr Fiala,Občanská demokratická strana,48723
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,39230
116445271562547,Dárek,Nadační fond pro Ukrajinu,27366
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",25034
214827221987263,Andrej Babiš,Andrej Babiš,24746
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,23746
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",22755
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,19422
181682098362773,DICK-TATOR,DICK-TATOR,18815
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,16762
101051231364600,Miroslav Zborovský - poslanec za JMK,Miroslav Zborovský - poslanec za JMK,15968
157741540937883,CARE Česká republika,CARE Česká republika,15718
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,15506
134019826669125,Česká divočina,Hnutí DUHA,15300
295889117124834,Tipsport,Tipsport,14795
251656685576,KDU-ČSL,KDU-ČSL,13485
325393357941714,Brněnský sedmnáctý,Brněnský sedmnáctý,11997
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,11930
122074554119,EU Social,EU Social,10999
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",10735
424114981002397,Český rozhlas Plus,Český rozhlas,10460
90002267161,TOP 09,TOP 09,10229
183287971525413,Chaos12,These ads ran without a disclaimer,9730
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",9148
102778979062932,Digitální Česko,Úřad vlády České republiky,8744
319958294730813,Jihomoravský kraj,Krajský úřad Jihomoravského kraje,8690
40583438943,NESEHNUTÍ,NESEHNUTÍ,8190
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,8172
100843142503124,Podcast Zjisti víc,Zjisti víc,8143
192892890746298,Aerofilms,Aerofilms,7657
1469427909957890,Reportér magazín,Reportér magazín,7117
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,7075
107736952362788,Denik.to,Denik.to,6889
101335358678003,Jiří Horák,Jiří Horák,6878
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",6564
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",6453
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,6296
384187235387895,Alena Schillerová,ANO,6159
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,6023
55408246161,Amnesty International ČR,Amnesty International ČR,5917
2214398435317853,CNN Prima NEWS,FTV Prima,5901
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,5856
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,5808
693725074166331,Naše zdravotnictví,Naše zdravotnictví,5662
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",5519
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,5488
1410403182565683,Petr Hladík,KDU-ČSL,5333
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,5293
662196877287140,Tomáš Třetina,PRodukujeme,5160
124306304093381,Moje Krpole,These ads ran without a disclaimer,5113
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,5024
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,ODS,4966
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",4863
93433992603,Hospodářské noviny,Hospodářské noviny,4630
100258505300069,Za bydlení,Za bydlení,4517
2019114464985347,Chyťte Bureše,Chyťte Bureše,4467
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",4420
197010357446014,Ondřej Prokop,Ondrej Prokop,4417
139379141293,Paměť národa,"Post Bellum, z.ú.",4413
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,4259
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,4032
352991961225671,Zateplení zdarma,These ads ran without a disclaimer,3922
117823623864,Transparency International ČR,Transparency International ČR,3899
100201752249169,Spolu21,Občanská demokratická strana,3862
392036724286541,Zdravotnický deník,Limegreen s.r.o.,3850
711658465662315,XTV,XTV,3788
103567498863549,Ecoista,Ecoista,3746
129493966920107,Investipo,EAFG Capital Ventures s.r.o.,3512
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,3504
113322746709049,Karel Havlíček,ANO,3474
109323929038,Česká pirátská strana,Česká pirátská strana,3375
100238859486283,Karin Podivinská - náměstkyně primátorky města Brna a kandidátka do Senátu,Karin Podivinská - náměstkyně primátorky města Brna a kandidátka do Senátu,3287
100568506223945,Valdes kouguem,These ads ran without a disclaimer,3137
393968607139343,Good Company Circle,Good Company Circle,3056
100347228813654,Martin Hájek,Martin Hájek,3053
108726857444837,České zájmy v EU,DFMG,3049
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita ve světě / Caritas Czech Republic in the world,3029
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,3003
204790179389399,RARE Racionální regulace,RARE Racionální regulace,2985
111210916534,Příběhy bezpráví,Příběhy bezpráví,2967
1094454530733590,KLDR živě: Za 38. rovnoběžkou,KLDR živě: Za 38. rovnoběžkou,2854
609246842426009,Rekonstrukce státu,Rekonstrukce státu,2796
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,2773
223117541065037,Karel Janeček,Karel Janeček,2769
109056560836,iFortuna.cz,iFortuna.cz,2696
415472211798220,Prague Pride,Prague Pride z.s.,2676
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",2619
116720238070135,Petr Nováček,Petr Nováček,2500
103059308644099,Replastuj.cz,Replastuj.cz,2415
102763112397884,Jan Hušbauer,Jan Hušbauer,2391
301374529736447,Midea Česko,These ads ran without a disclaimer,2320
202566776504980,ŽIVOT 90,ŽIVOT 90,2292
298062620248518,Zdenál do Senátu,ODS,2209
40155481542,ROMEA,"ROMEA, o. p. s.",2155
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,2131
315972808450196,ČSOB,ČSOB,2118
2198949580361251,Marek Viskot,Marek Viskot,2107
579215965436046,JSNS,JSNS,2003
1395881230682843,Luděk Niedermayer,Luděk Niedermayer,1998
1711196282467418,David Štolpa - váš poslanec za Znojemsko,David Štolpa,1995
158980731475210,Nina Spitalnikova,Nina Spitalnikova,1966
166738586813797,Břetislav Štefan,Břetislav Štefan,1934
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,1856
799083753454179,Voxpot,Voxpot z. ú.,1834
105243115766863,Síť k ochraně demokracie,Síť k ochraně demokracie,1824
573004246504627,Bohéma,Bohéma,1822
110208494972750,"Eva Rajchmanová, senátorka za Hodonínsko, Kyjovsko a Veselsko","Eva Rajchmanová, senátorka za Hodonínsko, Kyjovsko a Veselsko",1786
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",1783
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",1777
109791251684965,Jiří Kacetl - místostarosta města Znojma,Jiří Kacetl - místostarosta města Znojma,1766
731980267233834,AllatRa TV Česko-Slovensko,AllatRa TV Česko-Slovensko,1743
165004157332215,EWA: Learn Languages,These ads ran without a disclaimer,1732
102575351265303,Silent Woods,These ads ran without a disclaimer,1729
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,1718
382641704925474,Ocelový fénix,AMI Communications,1687
163922593467373,Advokátní kancelář LEGISTES,Lucie Slováková (AK Legistes),1638
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,1626
101703942538470,René Černý - 1. náměstek primátorky města Brna,René Černý - 1. náměstek primátorky města Brna,1605
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,1530
1416733788557863,Pravda o vodě a voda lidem,Nadační fond PRAVDA O VODĚ,1522
1460486154172874,Avanzza MKT,These ads ran without a disclaimer,1512
102913365637780,STAN Brno-Starý Lískovec,STAN Brno-Starý Lískovec,1500
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,1466
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,1465
109723118189780,"Lenka Knechtová, poslankyně Parlamentu ČR",ANO Jihomoravský kra,1433
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,1416
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1416
321108674718315,Make e Moda,These ads ran without a disclaimer,1374
100558309347647,Muzala Samukonga,These ads ran without a disclaimer,1349
