Page ID,Page name,Disclaimer,Amount spent (CZK)
278117815576023,EU Justice and Consumers,EU Justice and Consumers,44040
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,39855
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,36852
487445514669670,Petr Fiala,Občanská demokratická strana,24540
214827221987263,Andrej Babiš,Andrej Babiš,23809
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",20898
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",16623
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,14318
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,13581
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",13124
295889117124834,Tipsport,Tipsport,12143
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",12031
183287971525413,Chaos12,These ads ran without a disclaimer,11429
157741540937883,CARE Česká republika,CARE Česká republika,11177
134019826669125,Česká divočina,Hnutí DUHA,11035
251656685576,KDU-ČSL,KDU-ČSL,9541
181682098362773,DICK-TATOR,DICK-TATOR,9382
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,9217
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,8390
116445271562547,Dárek,Nadační fond pro Ukrajinu,7987
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,7386
122074554119,EU Social,EU Social,7014
424114981002397,Český rozhlas Plus,Český rozhlas,6806
107736952362788,Denik.to,Denik.to,6404
2214398435317853,CNN Prima NEWS,FTV Prima,6172
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,5794
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,5384
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",5003
100843142503124,Podcast Zjisti víc,Zjisti víc,4958
384187235387895,Alena Schillerová,ANO,4920
90002267161,TOP 09,TOP 09,4735
197010357446014,Ondřej Prokop,Ondrej Prokop,4735
426667000534079,"Kamila Bláhová, starostka a poslankyně","Kamila Bláhová, starostka a poslankyně",4651
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",4644
40155481542,ROMEA,"ROMEA, o. p. s.",4626
100568506223945,Valdes kouguem,These ads ran without a disclaimer,4429
398800103326119,Komunitní centrum Chcimír,Komunitní centrum CHCIMÍR,4414
55408246161,Amnesty International ČR,Amnesty International ČR,4291
1469427909957890,Reportér magazín,Reportér magazín,4223
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,4072
693725074166331,Naše zdravotnictví,Naše zdravotnictví,4051
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,3963
102778979062932,Digitální Česko,Úřad vlády České republiky,3904
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,3661
113322746709049,Karel Havlíček,ANO,3531
108726857444837,České zájmy v EU,DFMG,3411
392036724286541,Zdravotnický deník,Limegreen s.r.o.,3354
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,3306
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,3200
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",3099
192892890746298,Aerofilms,Aerofilms,3032
100258505300069,Za bydlení,Za bydlení,3018
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",3017
711658465662315,XTV,XTV,2905
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,2871
139379141293,Paměť národa,"Post Bellum, z.ú.",2863
100201752249169,Spolu21,Občanská demokratická strana,2802
1649724681776439,ProMOST,ProMOST,2794
1815379688541829,Jiří Nedvěd - zastupitel,Jiří Nedvěd - zastupitel,2698
