Page ID,Page name,Disclaimer,Amount spent (CZK)
183287971525413,Chaos12,These ads ran without a disclaimer,202
157741540937883,CARE Česká republika,CARE Česká republika,103
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",≤100
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,≤100
214827221987263,Andrej Babiš,Andrej Babiš,≤100
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",≤100
487445514669670,Petr Fiala,Občanská demokratická strana,≤100
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,≤100
278117815576023,EU Justice and Consumers,EU Justice and Consumers,≤100
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,≤100
100558309347647,Muzala Samukonga,These ads ran without a disclaimer,≤100
134019826669125,Česká divočina,Hnutí DUHA,≤100
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,≤100
1590014867927547,Purple Trading Česko a Slovensko,These ads ran without a disclaimer,≤100
251656685576,KDU-ČSL,KDU-ČSL,≤100
102575351265303,Silent Woods,These ads ran without a disclaimer,≤100
102778979062932,Digitální Česko,Úřad vlády České republiky,≤100
295889117124834,Tipsport,Tipsport,≤100
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",≤100
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,≤100
204790179389399,RARE Racionální regulace,RARE Racionální regulace,≤100
107736952362788,Denik.to,Denik.to,≤100
197010357446014,Ondřej Prokop,Ondrej Prokop,≤100
384187235387895,Alena Schillerová,ANO,≤100
1469427909957890,Reportér magazín,Reportér magazín,≤100
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,≤100
424114981002397,Český rozhlas Plus,Český rozhlas,≤100
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",≤100
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,≤100
101587908186187,Senátor Zbyněk Sýkora,Zbyněk Sýkora,≤100
122074554119,EU Social,EU Social,≤100
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,≤100
113322746709049,Karel Havlíček,ANO,≤100
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",≤100
392036724286541,Zdravotnický deník,Limegreen s.r.o.,≤100
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",≤100
117823623864,Transparency International ČR,Transparency International ČR,≤100
731980267233834,AllatRa TV Česko-Slovensko,AllatRa TV Česko-Slovensko,≤100
393968607139343,Good Company Circle,Good Company Circle,≤100
103059308644099,Replastuj.cz,Replastuj.cz,≤100
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,≤100
55408246161,Amnesty International ČR,Amnesty International ČR,≤100
103567498863549,Ecoista,Ecoista,≤100
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,≤100
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",≤100
382641704925474,Ocelový fénix,AMI Communications,≤100
102593189144504,Karolína Kubisková,Karolína Kubisková,≤100
104970479178796,Pozitivně k recyklaci,Pozitivně k recyklaci,≤100
221273594412886,Despre Moldova - Cehia,Despre Moldova - Cehia,≤100
40155481542,ROMEA,"ROMEA, o. p. s.",≤100
116445271562547,Dárek,Nadační fond pro Ukrajinu,≤100
108726857444837,České zájmy v EU,DFMG,≤100
139379141293,Paměť národa,"Post Bellum, z.ú.",≤100
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,≤100
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,≤100
1956144064659620,BlueTV,Aliance pro budoucnost,≤100
284944781875,EURACTIV.cz,EURACTIV.cz,≤100
100201752249169,Spolu21,Občanská demokratická strana,≤100
301374529736447,Midea Česko,These ads ran without a disclaimer,≤100
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100
40583438943,NESEHNUTÍ,NESEHNUTÍ,≤100
102763112397884,Jan Hušbauer,Jan Hušbauer,≤100
129493966920107,Investipo,EAFG Capital Ventures s.r.o.,≤100
100843142503124,Podcast Zjisti víc,Zjisti víc,≤100
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",≤100
252375370791,In IUSTITIA,"In IUSTITIA, o.p.s.",≤100
192892890746298,Aerofilms,Aerofilms,≤100
1395881230682843,Luděk Niedermayer,Luděk Niedermayer,≤100
111210916534,Příběhy bezpráví,Příběhy bezpráví,≤100
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,≤100
257529307701966,Jiří Pospíšil,TOP 09,≤100
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,≤100
415472211798220,Prague Pride,Prague Pride z.s.,≤100
105243115766863,Síť k ochraně demokracie,Síť k ochraně demokracie,≤100
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100
1410403182565683,Petr Hladík,KDU-ČSL,≤100
115106741622257,Roman Ďurčo,Roman Ďurčo,≤100
799083753454179,Voxpot,Voxpot z. ú.,≤100
209788605791373,Heinrich-Böll-Stiftung Prague,"Heinrich-Böll-Stiftung e.V., kancelář v Praze",≤100
1443742905864726,Zbyněk Linhart - Krásná Lípa,Zbyněk Linhart,≤100
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,≤100
38492561701,AutoMat,"AutoMat, z.s.",≤100
108254295004217,Jdeme o krok dál,Jdeme o krok dál,≤100
107042794245314,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,Lubomír Brož - poslanec Parlamentu ČR a zastupitel Praha 5,≤100
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,≤100
629195630792582,Sociální bydlení v ČR,Sociální bydlení v ČR,≤100
113528310021484,Šimon Pánek,"Člověk v tísni, o.p.s.",≤100
119441777836709,CITYA mobility,CITYA mobility,≤100
93433992603,Hospodářské noviny,Hospodářské noviny,≤100
187914681077210,Ladislav Vrabel,ČESKÁ REPUBLIKA NA 1. MÍSTĚ!,≤100
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,ODS,≤100
693725074166331,Naše zdravotnictví,Naše zdravotnictví,≤100
297565827101858,"Díky, že můžem","Díky, že můžem, z. s.",≤100
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,≤100
367286396696386,ITTEC,These ads ran without a disclaimer,≤100
162620837267478,Jan Bartošek,Jan Bartošek,≤100
1649724681776439,ProMOST,ProMOST,≤100
206630153142726,Marek Výborný,KDU-ČSL,≤100
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),≤100
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,≤100
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100
966463226699666,Ceny Jana Opletala,"Díky, že můžem z. s.",≤100
2214398435317853,CNN Prima NEWS,FTV Prima,≤100
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,≤100
202566776504980,ŽIVOT 90,ŽIVOT 90,≤100
177139666120181,Vlastimil Válek,TOP 09,≤100
183496134175,Radio Prague,Český rozhlas,≤100
742950425746951,Ministerstvo zemědělství,Ministerstvo zemědělství,≤100
609246842426009,Rekonstrukce státu,Rekonstrukce státu,≤100
101288484695293,Evropská soda,DFMG,≤100
181682098362773,DICK-TATOR,DICK-TATOR,≤100
103596561838998,Svedomi-naroda.cz,Nadační fond Svědomí národa,≤100
426207097775426,ebankrot.cz,"ADKINS Legal, s.r.o.",≤100
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,≤100
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,≤100
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",≤100
1401321553476901,Jan Farský,"MEP Jan Farský, Group of the European People's Party in the European Parliament",≤100
711658465662315,XTV,XTV,≤100
105422232487401,Bold News,Bold News,≤100
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,≤100
351328815012336,Milan Krajča,Milan Krajča,≤100
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,≤100
146713862010620,Martin Baxa,Martin Baxa,≤100
56844830907,ESET,These ads ran without a disclaimer,≤100
111107168256877,Karel Dvořák,Karel Dvořák,≤100
863066993754032,LOCIKA - centrum pro děti ohrožené domácím násilím,Centrum LOCIKA,≤100
1962450550674040,TVarchitect.com,Living Media s.r.o.,≤100
2149656682011295,RadoVan,RadoVan,≤100
822146574595819,Agrární komora České republiky,These ads ran without a disclaimer,≤100
125830487980906,Solární asociace,Solární asociace,≤100
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,≤100
223117541065037,Karel Janeček,Karel Janeček,≤100
1701718886552103,Moje Evropa,Moje Evropa,≤100
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,≤100
317530692148022,Evropa v datech,DFMG,≤100
162177293829972,Rádio Blaník,"Media Marketing Services, a.s.",≤100
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,≤100
315972808450196,ČSOB,ČSOB,≤100
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,≤100
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,≤100
1674237579543550,JTZE,JTZE,≤100
119624098506,Kateřina Konečná,Kateřina Konečná,≤100
241669269037364,Tomáš Messing,Spolek Odchod,≤100
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",≤100
594426030604429,Martin Procházka,Martin Procházka,≤100
822146574595819,Agrární komora České republiky,Agrární komora České republiky,≤100
107572505087543,AŘOV - Asociace řidičů osobních vozidel,"Asociace řidičů osobních vozidel, z.s.",≤100
90002267161,TOP 09,TOP 09,≤100
467298366652832,Радио Прага,Радио Прага,≤100
