Page ID,Page name,Disclaimer,Amount spent (CZK)
278117815576023,EU Justice and Consumers,EU Justice and Consumers,25318
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,20569
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,19302
101954531415600,Lukáš Vlček • ministr průmyslu a obchodu,Lukáš Vlček • ministr průmyslu a obchodu,17187
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,16003
487445514669670,Petr Fiala,Občanská demokratická strana,14883
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",11128
214827221987263,Andrej Babiš,Andrej Babiš,10100
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",8741
376917739059943,LYNX Investovat s výhodami,LYNX Investovat s výhodami,8666
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",6977
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,6462
181682098362773,DICK-TATOR,DICK-TATOR,6228
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,6104
116445271562547,Dárek,Nadační fond pro Ukrajinu,5914
134019826669125,Česká divočina,Hnutí DUHA,4979
157741540937883,CARE Česká republika,CARE Česká republika,4764
295889117124834,Tipsport,Tipsport,4738
104888111732005,Barbora Urbanová,Starostové a nezávislí • STAN,4391
251656685576,KDU-ČSL,KDU-ČSL,4280
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",3994
122074554119,EU Social,EU Social,3941
183287971525413,Chaos12,These ads ran without a disclaimer,3349
424114981002397,Český rozhlas Plus,Český rozhlas,3313
100843142503124,Podcast Zjisti víc,Zjisti víc,3081
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,3064
107736952362788,Denik.to,Denik.to,2836
1477535869227488,Vít Rakušan,STAROSTOVÉ A NEZÁVISLÍ,2736
2072757199653321,Zachraňme Železniční most,Zachraňme Železniční most,2514
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",2460
90002267161,TOP 09,TOP 09,2381
1469427909957890,Reportér magazín,Reportér magazín,2183
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",2136
100258505300069,Za bydlení,Za bydlení,2056
55408246161,Amnesty International ČR,Amnesty International ČR,2036
192892890746298,Aerofilms,Aerofilms,1967
2214398435317853,CNN Prima NEWS,FTV Prima,1951
125453991470833,SEN 21 - politické hnutí,SEN 21,1919
693725074166331,Naše zdravotnictví,Naše zdravotnictví,1856
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1842
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",1789
102778979062932,Digitální Česko,Úřad vlády České republiky,1763
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,1732
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",1669
139379141293,Paměť národa,"Post Bellum, z.ú.",1668
384187235387895,Alena Schillerová,ANO,1645
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,1637
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,1553
197010357446014,Ondřej Prokop,Ondrej Prokop,1549
424649884060896,Zrušme komunisty,"Listopad ještě neskončil, z.s.",1505
108726857444837,České zájmy v EU,DFMG,1484
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,1459
100201752249169,Spolu21,Občanská demokratická strana,1375
143396625517097,Tomáš má rád Jihlavu,Tomáš má rád Jihlavu,1373
101484914694453,Bioscop - Filmy v kinech,Bioscop - Filmy v kinech,1367
103567498863549,Ecoista,Ecoista,1324
392036724286541,Zdravotnický deník,Limegreen s.r.o.,1290
206630153142726,Marek Výborný,KDU-ČSL,1287
113322746709049,Karel Havlíček,ANO,1269
711658465662315,XTV,XTV,1258
117823623864,Transparency International ČR,Transparency International ČR,1175
109323929038,Česká pirátská strana,Česká pirátská strana,1079
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,1031
2019114464985347,Chyťte Bureše,Chyťte Bureše,1028
