Page ID,Amount spent (CZK),Number of ads in Library,Number of days
30575632699,597479,1001,200
34825122262,340844,1537,335
38492561701,17154,155,62
39371299263,436877,7438,174
40155481542,56390,397,79
40583438943,95176,913,173
43855944703,398257,2046,73
50309511751,283002,1370,250
55408246161,254286,1536,210
55876739776,2026613,10268,378
56292993421,92752,222,55
58887737763,129924,616,179
60516116431,1987736,1991,276
90002267161,377650,2527,136
93433992603,69876,157,60
108973609370,25011,41,35
109056560836,32450,41,30
109323929038,845208,2353,159
111210916534,44755,215,84
115602606970,123374,317,44
117823623864,163057,1020,203
119624098506,84464,264,162
122074554119,315286,274,38
123858471641,64663,243,51
124152241443,123183,3043,309
124872365383,11583,110,34
126192198099,39452,124,53
130038285069,623575,2122,282
136248513192,17308,92,43
137301989386,14880,57,46
139379141293,83561,1180,183
155406703122,12110,50,28
166088024273,7005,35,35
169946526003,16302,72,48
176688316811,322693,313,110
178362315106,1002237,3164,191
183496134175,19230,175,109
206045673805,36795,89,41
206407509818,175918,431,180
220814337523,38080,1250,179
251656685576,691103,5875,331
258989695009,92438,928,69
278212515809,317413,577,176
278451599256,303715,5755,379
284944781875,64428,2526,290
288004403427,8557,206,56
289075461571,83215,197,28
291699857688,60002,276,29
299124538476,273789,668,107
312759208382,15450,218,21
321762510282,29551,436,99
348394825788,47337,294,66
349496602364,2927,36,21
370583064327,275159,1266,64
375824363195,10075,244,53
375868542113,170656,741,124
397919187215,179036,1232,231
413476830191,82736,1284,117
416190415243,3683,109,22
100156851562751,80986,382,63
100201752249169,275593,492,88
100238859486283,26345,87,54
100275622515253,113338,308,98
100284089641510,11066,59,50
100505211433010,403015,1200,106
100602322206023,23244,60,45
100617488241201,4311,96,27
100647378751279,64420,450,82
100674998195047,211019,272,53
100723801653101,126061,2225,147
100760001626922,18806,162,89
100761461345420,44866,404,108
100819232400756,5818,64,21
100843142503124,111954,889,219
100851355204691,49695,226,46
100873939504989,70291,1245,55
100874651853105,12791,127,36
100890401934100,19613,213,76
100913275009934,10920,42,37
100955509189359,51364,335,199
100957585122900,7652,110,39
100981095684030,162882,263,35
101051231364600,37810,411,144
101134762378681,54969,488,106
101230222584230,10954,159,31
101279652413889,82063,359,181
101288484695293,56000,101,52
101335358678003,7779,69,38
101429731974678,158075,575,63
101474998635363,15808,107,24
101484914694453,56994,82,38
101587908186187,56365,106,77
101591979523190,516960,931,266
101661881517806,13933,76,34
101722985492419,6299,53,39
101729038539214,2765,44,22
101894271393926,97475,171,76
101937231589371,5809,134,41
101954531415600,51480,191,89
102092151751379,82504,276,25
102368582415300,4867,60,29
102422605838295,4641,36,23
102500511866371,12615,113,76
102593189144504,41496,80,60
102620981865843,15309,350,99
102763112397884,30514,154,99
102778979062932,71308,91,55
102844685102730,6683,51,36
102845669064210,708721,998,96
103059308644099,78264,920,198
103233024630301,13054,37,25
103430204491217,748919,1229,229
103567498863549,142158,1396,366
103596561838998,34955,245,141
103624831753285,130670,980,102
103812268872300,55037,232,27
103895482145144,9504,72,54
104076207795080,49913,110,43
104301308973100,161674,406,65
104398128891546,3452,55,26
104659657998241,25896,124,69
104749474243725,7130,49,40
104888111732005,120288,150,28
104970479178796,75096,906,281
104976129105222,26694,145,112
105002754733933,215769,1345,142
105044345372292,50145,68,24
105212148846881,59010,202,32
105236994759359,98763,581,88
105243115766863,27757,104,65
105317285145450,35329,373,53
105692521913578,219258,3468,102
105959931114296,21267,112,25
105998488267274,4811,76,23
106219158180899,15057,179,23
106719422226163,24201,160,36
106721088273276,64920,443,48
106725941551702,6260,64,31
106767797724979,193392,861,41
106834174877753,51259,1093,300
106862491619540,4192,33,21
106901094332851,33730,315,155
107042794245314,74968,1113,200
107166057484330,121109,2087,185
107404618559273,53466,67,57
107563435940797,32799,572,130
107572505087543,26291,257,164
107701908581977,55364,181,64
107736952362788,246902,3944,296
107744397623418,19053,100,80
107898832590939,249800,1948,98
108254295004217,21006,119,68
108256752103532,25536,74,53
108342850697974,177555,1836,178
108370411908373,9390,47,47
108452900574150,13681,35,26
108635649009885,4211,24,23
108726857444837,138437,316,87
108798118453748,18217,50,43
108897735292963,5980,30,30
108976551868585,13136,327,57
109014911323689,118185,353,29
109071351586518,6841,67,50
109144501836190,137409,462,38
109312294926861,7035,134,46
109426895534368,123214,438,95
109664387308142,26811,166,165
109709921715858,13944,72,25
109787574497667,21705,29,28
110126994551913,7973,30,27
110199885033988,15194,117,48
110208494972750,8972,218,44
110254555378721,4017,39,26
110285958334498,5212,62,34
110554525653740,66683,277,68
110945610569821,48549,1372,87
111041662264882,306216,647,174
111107168256877,18953,89,48
111152388465014,84239,444,147
111599660619960,99628,264,105
112063437174893,31535,874,135
112063685472868,40184,85,79
112161015475302,14216,69,55
112300100259995,26840,71,40
112503423634725,5729,76,23
112541503899043,68487,344,85
112758851612930,6276,50,32
113234444928293,4446,33,29
113322746709049,144387,427,234
113339861358429,4534,102,29
113489557033298,46302,221,55
113528310021484,78498,63,38
113743658978459,17399,216,62
113875917058636,22339,37,36
114216794363739,7910,30,30
114474108677288,257442,196,145
114723720265985,5316,30,22
115106741622257,73706,210,153
115112916857629,28192,193,64
115680881420521,9311,139,23
115802229102602,104033,669,27
116445271562547,375488,675,140
116550511463097,42393,895,125
116936778126005,68863,147,89
117330538358428,64587,245,55
117787408240075,146719,172,125
118342924551944,6371,34,26
118636354851151,12895,46,35
118797678145782,116472,205,43
119384121259027,22069,138,43
119410337928232,6327,95,25
119441777836709,51745,1174,173
119598071962341,274324,3178,240
120343698070515,728753,314,56
120461304659141,138201,97,90
120893375974787,30726,93,36
121414737897090,33490,192,121
122348331158908,166339,796,81
122414944594991,43452,505,133
125453991470833,134371,177,94
125830487980906,48208,321,157
127174985442604,33529,79,24
127355564021146,41606,42,26
129493966920107,25405,40,23
130631260290858,218862,1129,142
133030253410089,16406,154,80
134019826669125,116535,251,24
134443820058669,78414,482,103
137778619615350,150442,287,33
140958725929135,5475,86,29
